input,blk_cnt,test_cnt,rate
http://www.who.int/influenza/human_animal_interface,2,205,0.01
http://www.exgay.com,1,175,0.01
http://avaaz.org,3,357,0.01
https://pirateparty.org.au/,1,187,0.01
http://www.bbc.co.uk,2,171,0.01
https://guardianproject.info,1,182,0.01
http://www.theglobalfund.org,1,170,0.01
https://mail.ru/,1,189,0.01
http://www.wordreference.com/enfr/test,1,170,0.01
http://www.securitytracker.com,1,176,0.01
http://advocacy.globalvoicesonline.org,2,193,0.01
http://www.arabrenewal.com,2,227,0.01
https://xhamster.com/,2,170,0.01
http://casino.com,1,192,0.01
http://www.pogo.com/,1,175,0.01
http://www.cannaweed.com,1,178,0.01
http://hotgaylist.com,2,232,0.01
